2015-07-13 18:10:57 	 CRITICAL 		 e-------------Live:

2015-07-13 18:11:21 	 CRITICAL 		 s-------------Live:

2015-07-13 18:11:22 	 ERROR 		 GsmInit ERROR

2015-07-13 18:11:22 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:11:22 	 CRITICAL 		 e-------------Live:

2015-07-13 18:11:46 	 CRITICAL 		 s-------------Live:

2015-07-13 18:11:47 	 ERROR 		 GsmInit ERROR

2015-07-13 18:11:47 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:11:47 	 CRITICAL 		 e-------------Live:

2015-07-13 18:12:11 	 CRITICAL 		 s-------------Live:

2015-07-13 18:12:12 	 ERROR 		 GsmInit ERROR

2015-07-13 18:12:12 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:12:12 	 CRITICAL 		 e-------------Live:

2015-07-13 18:12:36 	 CRITICAL 		 s-------------Live:

2015-07-13 18:12:37 	 ERROR 		 GsmInit ERROR

2015-07-13 18:12:37 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:12:37 	 CRITICAL 		 e-------------Live:

2015-07-13 18:13:01 	 CRITICAL 		 s-------------Live:

2015-07-13 18:13:02 	 ERROR 		 GsmInit ERROR

2015-07-13 18:13:02 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:13:02 	 CRITICAL 		 e-------------Live:

2015-07-13 18:13:26 	 CRITICAL 		 s-------------Live:

2015-07-13 18:13:27 	 ERROR 		 GsmInit ERROR

2015-07-13 18:13:27 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:13:27 	 CRITICAL 		 e-------------Live:

2015-07-13 18:13:51 	 CRITICAL 		 s-------------Live:

2015-07-13 18:13:52 	 ERROR 		 GsmInit ERROR

2015-07-13 18:13:52 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:13:52 	 CRITICAL 		 e-------------Live:

2015-07-13 18:14:16 	 CRITICAL 		 s-------------Live:

2015-07-13 18:14:17 	 ERROR 		 GsmInit ERROR

2015-07-13 18:14:17 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:14:17 	 CRITICAL 		 e-------------Live:

2015-07-13 18:14:41 	 CRITICAL 		 s-------------Live:

2015-07-13 18:14:42 	 ERROR 		 GsmInit ERROR

2015-07-13 18:14:42 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:14:42 	 CRITICAL 		 e-------------Live:

2015-07-13 18:15:06 	 CRITICAL 		 s-------------Live:

2015-07-13 18:15:07 	 ERROR 		 GsmInit ERROR

2015-07-13 18:15:07 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:15:07 	 CRITICAL 		 e-------------Live:

2015-07-13 18:15:31 	 CRITICAL 		 s-------------Live:

2015-07-13 18:15:32 	 ERROR 		 GsmInit ERROR

